,district,area,year,rooms,value,floor,elevator,parking,warehouse
821, کوی فردوس ,۶۱,۱۳۸۵,۲,۳٬۹۸۰٬۰۰۰٬۰۰۰,۱ از ۴,False,"(True,)",True
822, شیان ,۱۴۵,۱۳۹۵,۳,۱۳٬۷۷۵٬۰۰۰٬۰۰۰,۸,"(True,)","(True,)",True
823, ابوذر (منطقه ۱۵),۵۶,۱۳۸۰,۱,۲٬۴۰۰٬۰۰۰٬۰۰۰,۳ از ۵,False,False,False
824, شهران جنوبی ,۱۰۰,۱۳۹۹,۲,۴٬۷۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
825, شیان ,۱۴۷,۱۴۰۰,۳,۱۰٬۵۸۴٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
826, دریاچه شهدای خلیج فارس ,۱۴۸,۱۴۰۰,۳,۱۰٬۳۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
827, شیان ,۱۳۰,۱۳۸۵,۲,۱۰٬۴۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
828, جنت‌آباد شمالی ,۸۸,۱۳۸۴,۲,۴٬۷۳۰٬۰۰۰٬۰۰۰,۳,False,"(True,)",True
829, مرزداران ,۱۰۰,۱۴۰۱,۲,۸٬۷۰۰٬۰۰۰٬۰۰۰,۵ از ۵,"(True,)","(True,)",True
830, سعادت‌آباد ,۳۲۰,۱۳۸۸,۴,۴۳٬۰۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
831, فرمانیه,۱۵۰,۱۴۰۰,۳,۱۸٬۰۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
832, فرمانیه,۲۵۰,۱۴۰۱,۳,۳۵٬۰۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
833, مرزداران ,۱۴۵,۱۴۰۱,۳,۱۳٬۸۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
834, مرزداران ,۱۲۸,۱۳۸۸,۳,۸٬۶۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
835, چیتگر ,۱۱۵,۱۴۰۱,۲,۴٬۶۵۰٬۰۰۰٬۰۰۰,۱۱,"(True,)","(True,)",True
836, اراج ,۱۰۹,۱۳۹۷,۳,۱۰٬۷۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
837, اندیشه (شهر زیبا) ,۶۹,۱۳۹۲,۲,۱٬۹۳۲٬۰۰۰٬۰۰۰,۱,False,"(True,)",True
838, صادقیه ,۹۰,۱۳۸۱,۲,۵٬۹۵۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
839, سلسبیل,۷۵,۱۳۸۸,۲,۲٬۸۵۰٬۰۰۰٬۰۰۰,۴ از ۴,False,"(True,)",True
840, الهیه ,۳۰۰,۱۳۸۴,۳,۳۳٬۲۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
841, استاد معین ,۵۰,۱۳۹۱,۱,۲٬۵۵۰٬۰۰۰٬۰۰۰,۱ از ۴,False,"(True,)",True
842, دریاچه شهدای خلیج فارس,۱۱۶,۱۳۹۴,۲,۶٬۳۰۰٬۰۰۰٬۰۰۰,۲ از ۱۹,"(True,)","(True,)",True
843, استاد معین ,۹۰,۱۴۰۱,۲,۳٬۴۵۰٬۰۰۰٬۰۰۰,۱ از ۵,"(True,)","(True,)",True
844, جیحون ,۸۱,۱۳۷۸,۲,۲٬۴۵۰٬۰۰۰٬۰۰۰,۳,False,False,False
845, کوی فردوس,۱۰۱,۱۳۹۴,۲,۶٬۹۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
846, دریاچه شهدای خلیج فارس ,۱۱۰,۱۳۹۷,۲,۵٬۶۰۰٬۰۰۰٬۰۰۰,۸,"(True,)","(True,)",True
847, پونک ,۵۰,۱۳۸۸,۱,۴٬۲۵۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
848, سلسبیل ,۶۰,۱۳۹۳,۱,۲٬۶۳۰٬۰۰۰٬۰۰۰,۴,"(True,)",False,False
849, اندیشه (شهر زیبا) ,۸۹,۱۳۸۶,۲,۴٬۳۵۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
850, اندیشه (شهر زیبا) ,۹۰,۱۳۸۳,۲,۴٬۴۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
851, اندیشه (شهر زیبا) ,۸۹,۱۳۸۸,۲,۴٬۴۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
852, زعفرانیه ,۲۶۲,۱۳۸۵,۴,۲۵٬۰۰۰٬۰۰۰٬۰۰۰,۶,"(True,)","(True,)",True
853, اندیشه (شهر زیبا) ,۷۹,۱۳۹۰,۲,۱٬۶۰۰٬۰۰۰٬۰۰۰,۳,False,"(True,)",True
854, جیحون ,۷۸,۱۴۰۱,۲,۳٬۲۰۰٬۰۰۰٬۰۰۰,۱ از ۴,"(True,)","(True,)",True
855, جیحون ,۸۴,۱۴۰۱,۲,۳٬۴۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
856, جیحون ,۷۳,۱۴۰۱,۲,۳٬۱۰۰٬۰۰۰٬۰۰۰,۳ از ۵,"(True,)",False,False
857, اختیاریه ,۱۸۶,۱۴۰۱,۳,۱۳٬۹۵۰٬۰۰۰٬۰۰۰,۱۱,"(True,)","(True,)",True
858, پیروزی ,۹۰,۱۴۰۱,۲,۲۱۰,مشاور املاک,"(True,)","(True,)",True
859, ارم ,۵۲,۱۳۸۹,۱,۳٬۸۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
860, وردآورد ,۱۰۰,۱۴۰۱,۲,۲٬۹۰۰٬۰۰۰٬۰۰۰,۶ از ۶,"(True,)","(True,)",True
861, ولنجک ,۴۴۰,۱۴۰۱,۴,۱۷۶٬۰۰۰٬۰۰۰٬۰۰۰,۶,"(True,)","(True,)",True
