date,district,area,year,room,floor,evelator,parking,warehouse,value,type
1401/09/20,فرحزاد ایثارگران شمالی,161,26,4,7,"کولر,آسانسور,پکیج,گاز",yes,yes,10500000000,آپارتمان
1401/09/20,فرشته خ  بوسنی,270,20,4,11,"کولر,آسانسور,چیلر,گاز",yes,yes,35100000000,آپارتمان
1401/07/09,ایران خ مهدوی پور بن بست شیری پلاك 4,65,11,1,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,3120000000,آپارتمان
1401/04/08,هنگام شمیران نو میدان پاكدامن,55,19,1,4,"کولر,گاز",,yes,730000000,آپارتمان
1401/09/24,یوسف آباد نرسیده به ك 46,165,نوساز,3,6,"کولر,آسانسور,گاز",yes,yes,18150000000,آپارتمان
1401/05/13,خواجه عبداله ك چهاردهم,113,30,2,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4859000000,آپارتمان
1401/04/08,دركه خ سیزده چنار,137,30,2,1,"کولر,گاز",,,4200000000,آپارتمان
1401/08/26,جنت آباد جنوبی خ كبیرزاده غربی,72,16,2,2,"شوفاژ,کولر,گاز",,yes,3600000000,آپارتمان
1401/04/29,پونك همیلا,85,6,2,3,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,6375000000,آپارتمان
1401/06/31,نظام آباد خ مدنی جنوبی خ بخشی فرد,70,4,2,4,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,,2500000000,آپارتمان
1401/09/23,كن بالاترازسولقان روستای سنگان,85,15,2,2,"کولر,گاز",,yes,1275000000,آپارتمان
1401/07/09,ستارخان خ شادمان,64,8,1,2,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,,3500000000,آپارتمان
1401/09/21,تهرانپارس تیرانداز,136,30,2,4,"شوفاژ,کولر,آسانسور,گاز",yes,,6800000000,آپارتمان
1401/04/08,ستارخان توحید خ كوثر,125,نوساز,2,2,"کولر,آسانسور,گاز",yes,yes,6000000000,آپارتمان
