,district,area,year,rooms,value,floor,elevator,parking,warehouse
17809, آجودانیه ,285,1401,3,48450000000,3,True,True,True
17810, هروی ,125,1400,2,12500000000,5,True,True,True
17811, هروی ,155,1398,3,15550000000,3,True,True,True
17812, فرمانیه ,193,1395,3,24000000000,3,True,True,True
17813, کامرانیه ,315,1385,4,37000000000,4,True,True,True
17814, باغ فیض ,72,1384,2,3650000000,3,True,True,True
17815, اختیاریه ,82,1390,2,6050000000,3,True,True,True
17816, شهر زیبا ,86,1383,2,4150000000,1,True,True,True
17817, دروس ,200,1399,3,30000000000,4,True,True,True
17818, پونک ,110,1387,3,7450000000,5,True,True,True
17819, چیتگر,100,1401,2,1750000000,15,True,True,True
17820, پاسداران ,112,1395,3,9400000000,3,True,True,True
17821, جیحون ,78,1401,2,3500000000,5,True,True,True
17822, استاد معین ,103,1399,2,5450000000,2,True,True,True
17823, کوی فردوس ,135,1382,3,8300000000,4,True,True,True
17824, زیبادشت ,50,1401,1,930000000,10,True,True,True
17825, کرمان ,115,1401,2,7504000000,6,True,True,True
17826, مرزداران ,75,1385,2,4850000000,2,True,True,False
17827, جردن ,120,1400,3,11800000000,2,True,True,True
17828, تهرانپارس شرقی ,62,1390,2,3200000000,1,True,True,True
17829, آجودانیه ,183,1398,3,17500000000,4,True,True,True
17830, زعفرانیه ,200,1386,3,24000000000,4,True,True,True
17831, نارمک ,137,1397,1,7946000000,1,True,True,True
17832, جیحون,59,1381,1,2400000008,3,True,True,True
17833, دزاشیب ,100,1386,2,8400000000,4,True,True,True
17834, ازگل ,96,1386,2,6900000000,18,True,True,True
17835, سلسبیل ,89,1396,2,4150000000,4,True,True,True
17836, چیتگر ,110,1400,2,4850000000,8,True,True,True
17837, مرزداران ,140,1394,3,10700000000,3,True,True,True
17838, سازمان برنامه,115,1390,2,7800000000,3,True,True,True
17839, شهرآرا,175,1401,3,18400000000,5,True,True,True
17840, شهرک ژاندارمری,123,1391,3,8500000000,2,True,True,True
17841, تهران‌ویلا,161,1400,3,15300000000,3,True,True,True
17842, پونک ,75,1386,2,4200000000,1,True,True,False
17843, یوسف‌آباد ,200,1371,3,15500000000,3,True,True,True
17844, پونک,50,1396,1,3750000000,5,True,True,True
17845, جنت‌آباد مرکزی ,110,1398,2,7800000000,5,True,True,True
17846, جیحون ,61,1400,1,2600000000,1,True,True,True
17847, طرشت ,100,1398,2,5500000000,3,True,True,True
17848, پونک ,143,1392,3,11150000000,3,True,True,True
17849, مرزداران ,900,1398,2,85000000000,3,True,True,True
17850, صادقیه ,103,1401,2,6500000000,1,True,True,True
17851, عباس‌آباد,52,1385,1,4000000000,5,True,True,True
17852, جنت‌آباد شمالی ,103,1385,2,4300000000,4,True,True,True
17853, جلفا ,144,1401,3,13000000000,3,True,True,True
17854, هروی ,190,1385,3,14200000000,2,True,True,True
17855, سهروردی ,91,1392,2,7500000000,3,True,True,True
17856, سهروردی ,123,1395,3,9200000000,2,True,True,True
17857, سهروردی ,114,1401,2,13680000000,5,True,True,True
17858, دروس ,285,1401,4,35000000000,2,True,True,True
17859, پاسداران ,100,1401,2,12000000000,2,True,True,True
17860, پاسداران ,185,1401,3,32000000000,4,True,True,True
17861, نظام‌آباد ,68,1384,2,2180000000,2,True,True,False
17862, گیشا (کوی نصر) ,148,1394,3,12728000000,4,True,True,True
17863, آجودانیه ,200,1400,4,40000000000,3,True,True,True
17864, ابوذر (منطقه ۱۵) ,70,1380,2,2850000000,2,True,True,False
17865, سعادت‌آباد ,193,1401,3,37000000000,4,True,True,True
17866, گیشا (کوی نصر) ,167,1400,3,19000000000,3,True,True,True
17867, پونک ,120,1399,3,9000000000,1,True,True,True
